"CCN","teaching_status","urban_rural","ownership_type_simple","bed_size_simple","cost_of_care_per_inpatient_day","charity_care_burden","bad_debt_burden","salary_cost_per_inpatient_day","malpractice_premiums_per_inpatient_day","med_records_library_per_inpatient_day","mean_drg_weighting","alos","occupancy_rate","private_room_percentage","semi_private_room_percentage","RN_percent","LPN_percent","naor_percent","ma_percent","nursing_hours_per_inpatient_day","special_care_day_rate","overall_hospital_rating_star_rating","nurse_communication_star_rating","doctor_communication_star_rating","staff_responsiveness_star_rating","communication_about_medicines_star_rating","discharge_information_star_rating","care_transition_star_rating","cleanliness_star_rating","quietness_star_rating","recommend_hospital_star_rating","SDI_score","at_least_high_school","under_100_FPL","renting","crowded","no_computer_internet_access","not_proficient_english_adult","unemployment","non_employment","single_parent_family","no_vehicle_households","long_commute","veteran","medicaid_caseload","disproportionate_percentage","cms_caseload","percent_of_service_area_under_public","percent_of_service_area_under_private","clabsi_rate","cauti_rate","ssi_colon_rate","ssi_hyster_rate","mrsa_rate","cdi_rate","PSI_03","PSI_04","PSI_06","PSI_08","PSI_09","PSI_10","PSI_11","PSI_12","PSI_13","PSI_14","PSI_15","PSI_90","hospital_wide_readmission_rate","heart_failure_readmission_rate","acute_myocardial_infarction_readmission_rate","copd_readmission_rate","hip_knee_replacement_readmission_rate","pneumonia_readmission_rate"
10029,"Teaching","Urban","Governmental","Medium",1936.60405533039,2.442206376,2.159012862,1871.083371,NA,75.94546679,1.83434240299205,5.41939873007645,67.5909782759098,0,92.8089856971285,71.1309036835795,3.94002541819099,22.9532953604083,1.97577553782114,23.2355367454539,9.250370831,4,4,4,3,4,3,3,3,4,4,65.4478697609976,86.62086568,18.19684941,23.35874736,26.50346351,15.63036497,0.881672794,5.216421256,46.25831331,7.196268443,6.615972881,6.189408454,7.75909347,23.7009200466503,0.3097,40.9032007256706,39.12806268,65.41367783,0.999875016,0.516395559,17.75147929,28.26855124,0.149255445,0.404927849,0.67,172.06,0.19,0.08,1.86,1.93,9.49,3.44,5.04,1.68,0.8,1.01,14.4,23.2,13.5,19.4,4.1,16.3
10033,"Teaching","Urban","Governmental","Large",2148.23857929206,5.200367665,2.135736944,2131.340455,NA,30.21332518,2.63997940214326,7.80872202468103,62.5805907985651,0,100,76.8503646467763,3.49220451265535,15.8412521509004,3.81616613058209,21.3276628229338,7.974602696,4,3,4,3,4,4,4,2,3,4,57.337699228639,87.61397454,17.40899906,23.60145693,24.76124952,14.1145647,1.130333725,6.562716144,45.80787869,7.216867188,7.286060091,6.862907405,7.694562837,19.5754026354319,0.3353,39.7406400334658,39.87207262,63.33309674,1.264091512,1.052792772,12.392755,7.763975155,0.188050578,0.329821347,0.72,201.77,0.23,0.07,1.84,2.75,11.39,6.02,5.93,2.15,0.89,1.28,15.5,17.9,15,19.4,5,18.3
10035,"Non Teaching","Rural","Governmental","Small",1835.84687967369,1.230855708,5.349948613,2020.84505,23.39332648,72.92584262,1.45967434620174,3.93231394354149,62.6117388261174,0,92.6538694943946,67.6035826896498,5.93812261797208,23.1280925229004,3.33032183179069,22.7242692046227,9.447996658,3,3,3,2,3,2,3,3,5,3,51.7946591138984,84.63443727,12.79401665,19.44168209,20.88290167,14.0100593,0.964551795,4.523177185,45.23519134,4.88021382,3.430162855,13.15085988,7.672174069,18.6056458511548,0.1989,45.2630453378956,38.40606023,65.31918402,0.804289544,1.226068094,0,0,0.05317876,0.163318635,0.43,168.79,0.33,0.09,2.23,1.52,6.83,3.48,4.81,1.87,0.96,0.87,14.1,22.3,13.7,21.3,4.2,17.2
10036,"Non Teaching","Rural","Proprietary","Small",2066.46107717935,3.14622168,4.002956667,1353.016887,45.84079149,56.87246261,1.60735909090909,3.94782989916703,21.3995708862849,0,90.0971772327626,70.5012214114203,18.4904500731805,11.0083285153992,0,21.3204886174348,23.06817536,2,2,3,2,3,2,2,3,3,2,63.1620284477427,84.65447087,19.48547731,20.27107786,21.8343506,19.32433146,0.03324987,7.828373645,51.26804038,6.542247108,5.483081358,7.833713636,8.743900589,21.8763700131521,0.3398,51.9947391494958,39.28643684,63.54743801,0,0,0,0,0,0,0.37,NA,0.28,0.09,2.42,NA,NA,3.28,NA,2.44,1.01,0.93,14.2,21,NA,17.4,4.8,17.3
10039,"Teaching","Rural","Governmental","Large",1842.05589145326,2.030229595,3.568512558,2178.27233,7.483773127,67.70875859,2.02838926002056,5.75189828008849,72.5606134076858,0,94.163836923244,62.3566121303716,9.93635408733114,17.880455705192,9.82657807710519,21.2134138101887,8.390758632,4,3,3,3,3,3,3,4,4,4,45.470782584043,88.3755263,12.99348346,21.29527203,22.42009647,11.61701262,1.49907675,4.589825227,42.25668967,5.863442251,4.243272615,4.766581354,9.861365955,21.4978974430516,0.2673,41.4572413655659,35.31369524,70.39507469,2.001308548,1.633306645,28.05280528,5.221932115,0.11475559,0.547758232,0.42,183.05,0.23,0.08,2.51,1.95,15.52,5.6,9.89,2.06,0.58,1.42,14.4,20.3,12.3,18.4,5.4,16.5
10040,"Teaching","Urban","Proprietary","Medium",1817.80473070395,4.922779633,2.470901031,1031.341617,5.015479013,29.19433831,1.67744424050633,5.66315245478036,51.9221867767561,0,95.1787779491133,70.0576835708721,5.39452396663974,24.5477924624882,0,17.7564563523206,22.26839585,2,2,3,2,3,3,2,2,3,3,60.1850754310345,84.80919691,17.11240303,20.46319085,21.80142151,14.43281001,1.460586157,6.07029932,48.33846025,5.876966561,4.88809374,7.713927344,7.563223507,22.4289405684755,0.2947,43.3695090439276,40.81886287,63.13620509,1.387154945,0.228050171,0,0,0.116515197,0.016645028,1.66,168.57,0.21,0.09,2.52,2.09,14.84,3.15,8.93,2.74,1.5,1.62,14.1,20.3,13.8,18.8,3.7,15.6
10045,"Non Teaching","Rural","Governmental","Small",6808.52151526296,3.367477293,15.95135508,4198.186951,NA,118.6352099,1.58952222222222,4.90794223826715,23.236301369863,0,68.5703758290346,65.0568726256102,7.31509351009503,13.1083229057459,14.5208382653004,32.6248620816477,0.602017572,5,5,5,3,5,4,4,4,5,4,59.0892978868439,84.65353815,19.12568579,21.04360145,21.7277638,19.59097913,0.065615113,8.507100538,53.80816975,4.704330984,10.15322025,14.24963579,6.547149768,10.4693140794224,0.1516,52.8880866425993,46.97550197,59.36693658,0,1.718213058,0,NA,0,0.278396437,0.5,NA,0.24,0.09,NA,NA,NA,NA,NA,NA,NA,0.97,14,19.5,NA,20.8,NA,17.2
10046,"Non Teaching","Urban","Proprietary","Medium",1930.83304442405,0.111553777,4.812802489,1257.518213,29.46037909,33.3428047,1.79061565573771,4.8888334995015,25.7202482876712,0,100,66.8507017200054,5.51671766887257,27.2295250011306,0.403055609991407,18.0380000679787,17.74028449,3,2,2,3,2,2,2,2,4,3,61.7323898186515,85.01578768,17.58479781,20.85671106,22.14824024,14.21321109,1.429344221,6.59325459,48.82372714,6.32192894,5.109832704,7.396265212,7.577702115,8.07577268195414,0.1813,35.6098371552011,41.0555093,62.50882864,1.507159005,0.097125097,0,NA,0.130322875,0.325807187,0.4,168.23,0.21,0.1,2.14,1.45,7.63,2.74,4.77,1.88,0.95,0.83,15.9,22.2,13.5,20.3,NA,18.5
10049,"Non Teaching","Rural","Proprietary","Small",2206.03001888829,4.561088009,2.152097942,1394.089987,7.643886826,51.32667123,1.63309466119097,4.17695125387433,31.6839629168396,0,86.1996680932833,65.0939682389714,15.6210879372653,13.545677146074,5.73926667768933,17.1358607663249,13.973319,3,3,3,3,3,4,3,4,4,3,64.7185197588747,85.80473096,16.22686406,23.02792675,24.44271873,12.66774788,1.322542872,5.029230958,45.99470332,6.771322753,4.632894273,5.615814771,15.55138522,24.3730628346013,0.3261,46.1820231051,48.63326341,58.72035142,2.592016589,0,45.45454545,29.41176471,0.071362306,0.071443881,0.33,NA,0.24,0.09,2.39,1.54,9.81,3.91,4.92,1.94,1.02,0.95,14.3,20.7,NA,21.1,4.4,17.8
10055,"Non Teaching","Rural","Proprietary","Medium",1906.79734982929,3.092287065,1.987476356,1075.389823,5.627423623,33.35627487,1.74355541992188,4.91820448877805,60.032767925983,0,97.3350457537325,67.5089543285487,14.7128647964014,16.5096178478743,1.26856302717565,21.2441943007809,17.94066286,3,3,3,2,4,4,3,2,3,3,66.3905552234607,84.75263123,18.48668847,23.29403822,24.62822516,16.16062871,0.678488738,5.713216734,49.65881216,7.385215566,6.335627352,6.870847319,11.03027556,13.1837073981712,0.2382,37.2402327514547,45.7339164,58.02931256,1.231274369,1.47568804,0,3.496503497,0.053295434,0.142121158,0.29,151.06,0.19,0.08,2.63,1.4,8.46,2.59,5.35,1.83,1.31,0.85,14,20.5,14.2,18.4,5,16.4
